epic,story,status,percent,evidence files,remaining gap
"Epic P0.1 - Bible Study Core Must Be Trustworthy","P0.1.1 - Fix verse-level theme assignment","done",100,"src/lib/bibleThemes.ts; src/pages/Bible.tsx; tests/bible-modes.spec.js; tests/bible-settings.spec.js","Monitor remaining false positives in broader book coverage under later P1 interpretation work."
"Epic P0.1 - Bible Study Core Must Be Trustworthy","P0.1.2 - Stabilize Bible overlay modes","done",100,"src/pages/Bible.tsx; src/store/index.ts; tests/bible-modes.spec.js","Mode system is stable; future work belongs to UX polish rather than core stabilization."
"Epic P0.1 - Bible Study Core Must Be Trustworthy","P0.1.3 - Add chapter coverage safeguards","done",100,"src/pages/Bible.tsx; src/lib/bibleThemes.ts; tests/bible-settings.spec.js","Coverage guard is in place; remaining work is content quality, not save safety."
"Epic P0.1 - Bible Study Core Must Be Trustworthy","P0.1.4 - Persist approved Bible analyses","done",100,"src/lib/bibleThemes.ts; src/pages/Bible.tsx; src/pages/Settings.tsx","Persist and reuse flow is working; future work is cache versioning discipline under P0.4.4."
"Epic P0.1 - Bible Study Core Must Be Trustworthy","P0.1.5 - Improve evidence visibility","done",100,"src/lib/bibleThemes.ts; src/pages/Bible.tsx; tests/bible-settings.spec.js","Evidence trail is live; later refinement is presentation depth, not missing plumbing."
"Epic P0.1 - Bible Study Core Must Be Trustworthy","P0.1.6 - Add Meaning / Reflection scaffold","done",100,"src/pages/Bible.tsx; src/lib/bibleThemes.ts; tests/bible-modes.spec.js","Scaffold is complete; deeper theological maturity is tracked under P1.1."
"Epic P0.2 - Discipleship Import Pipeline Must Work End-to-End","P0.2.1 - Harden the import pipeline","done",100,"src/pages/Settings.tsx; vite.config.ts; src/types/index.ts; src/lib/chronicleVersioning.ts; tests/bible-settings.spec.js","Malformed OCR sources are now rejected with repair guidance; deeper source intelligence continues in P1.4, not P0.2."
"Epic P0.2 - Discipleship Import Pipeline Must Work End-to-End","P0.2.2 - Fix overlapping page/day mapping","done",100,"src/pages/Discipleship.tsx; vite.config.ts; scripts/sync-discipleship-workbook-overlays.mjs; data/library/catalog.json; tests/discipleship-progress.spec.js","Chronicle now derives source page slices automatically instead of depending only on tuned manual overrides."
"Epic P0.2 - Discipleship Import Pipeline Must Work End-to-End","P0.2.3 - Improve workbook overlays","done",100,"src/pages/Discipleship.tsx; scripts/sync-discipleship-workbook-overlays.mjs; data/library/qa/discipleship-workbook-audit.json; tests/bible-settings.spec.js","Overlay targeting and workbook QA are now slice-aware; future refinements are quality upgrades rather than missing workflow support."
"Epic P0.2 - Discipleship Import Pipeline Must Work End-to-End","P0.2.4 - Add import progress and recovery","done",100,"src/pages/Settings.tsx; vite.config.ts; tests/bible-settings.spec.js","Import progress, restore, repair, and snapshot-backed recovery are in place for the local-first import workflow."
"Epic P0.2 - Discipleship Import Pipeline Must Work End-to-End","P0.2.5 - Improve OCR cleanup quality","done",100,"vite.config.ts; src/pages/Settings.tsx; data/ocr/fixtures/structured-general-book.txt; data/ocr/fixtures/sparse-general-book.txt; tests/bible-settings.spec.js","OCR cleanup and source-health scoring are now explicit and tested; future gains are model-quality improvements rather than missing safeguards."
"Epic P0.2 - Discipleship Import Pipeline Must Work End-to-End","P0.2.6 - Generate dynamic daily study structure","done",100,"vite.config.ts; src/pages/Discipleship.tsx; src/pages/Settings.tsx; src/types/index.ts; data/ocr/fixtures/structured-general-book.txt; tests/bible-settings.spec.js","Generated daily plans now preserve source sections, derive mapping slices, and surface source-fidelity diagnostics in-product."
"Epic P0.3 - Daily Formation Flow Must Be Cohesive","P0.3.1 - Make Today reflect actual live study state","done",100,"src/pages/Today.tsx; src/lib/ownedBookSession.ts; src/store/index.ts; tests/app-smoke.spec.js","Today now reflects live study and discipleship state, including thread context and real handoffs; later work belongs to product polish, not missing P0 cohesion."
"Epic P0.3 - Daily Formation Flow Must Be Cohesive","P0.3.2 - Resolve Study and Discipleship to the real current day","done",100,"src/pages/Study.tsx; src/pages/Discipleship.tsx; src/lib/ownedBookSession.ts; src/store/index.ts; tests/app-smoke.spec.js","Study and Discipleship now honor requested module, book, day, and reader-view routing consistently for the current-day workflow."
"Epic P0.3 - Daily Formation Flow Must Be Cohesive","P0.3.3 - Share formation state across tabs","done",100,"src/pages/Chronicle.tsx; src/pages/Study.tsx; src/pages/Prayer.tsx; src/pages/Discipleship.tsx; src/pages/Today.tsx; src/lib/chronicleRelations.ts; src/types/index.ts","Formation state is now shared through sourceContext plus contextual related-entry matching; richer semantic clustering is future enhancement work, not missing P0 behavior."
"Epic P0.3 - Daily Formation Flow Must Be Cohesive","P0.3.4 - Improve Chronicle AI page grounding","done",100,"src/store/aiChatStore.ts; src/components/ui/AIChatPanel.tsx; src/components/ui/AISelectionMenu.tsx; src/pages/Today.tsx; src/pages/Study.tsx; src/pages/Discipleship.tsx; tests/app-smoke.spec.js","Chronicle AI is now grounded by live page, passage, day, book, and thread context across the main formation surfaces; deeper memory features are later P1 refinement."
"Epic P0.3 - Daily Formation Flow Must Be Cohesive","P0.3.5 - Add one-click spiritual handoffs","done",100,"src/pages/Bible.tsx; src/pages/Prayer.tsx; src/pages/Today.tsx; src/pages/Study.tsx; src/pages/Discipleship.tsx; src/pages/Chronicle.tsx; tests/app-smoke.spec.js","Primary handoffs across Bible, Today, Study, Discipleship, Prayer, and Chronicle are now one-click and stateful; remaining work is optional expansion, not missing core flow."
"Epic P0.4 - Reliability and Regression Protection","P0.4.1 - Finish remaining React/lint hardening","done",100,"src/pages/Today.tsx; src/pages/Prayer.tsx; src/pages/Study.tsx; src/pages/Insights.tsx; src/pages/Legacy.tsx; src/pages/Plans.tsx; src/store/index.ts","Lint is clean and the hardening pass is complete; remaining reliability work belongs to broader regression and migration coverage."
"Epic P0.4 - Reliability and Regression Protection","P0.4.2 - Expand Playwright coverage for core flows","done",100,"tests/app-smoke.spec.js; tests/bible-modes.spec.js; tests/bible-settings.spec.js; tests/discipleship-progress.spec.js","Primary cohesion, Bible modes, import flows, OCR safeguards, workbook QA, and sync snapshot flows are now covered by end-to-end browser regression checks."
"Epic P0.4 - Reliability and Regression Protection","P0.4.3 - Add regression coverage for saved analyses and mappings","done",100,"tests/bible-settings.spec.js; tests/bible-modes.spec.js; tests/discipleship-progress.spec.js; src/pages/Discipleship.tsx; src/lib/bibleThemes.ts","Saved theme-analysis cache, source-section generation, malformed OCR rejection, and slice-aware day mapping now have dedicated regression coverage."
"Epic P0.4 - Reliability and Regression Protection","P0.4.4 - Add data versioning and migration discipline","done",100,"src/store/index.ts; src/lib/chronicleVersioning.ts; vite.config.ts; src/pages/Settings.tsx; tests/bible-settings.spec.js","App state, Chronicle snapshots, and study-library records now migrate through explicit shared version contracts, with legacy snapshot import and schema visibility verified in tests."
"Epic P1.1 - Bible Interpretation Becomes Meaningful","P1.1.1 - Add Meaning / Reflection layer","done",100,"src/pages/Bible.tsx; tests/bible-modes.spec.js","Meaning and reflection now operate at chapter and focused-verse level with stronger authorial, redemptive, and lived-response guidance; future work belongs to ongoing content enrichment rather than missing product structure."
"Epic P1.1 - Bible Interpretation Becomes Meaningful","P1.1.2 - Build passage-level theological synthesis","done",100,"src/pages/Bible.tsx; tests/bible-modes.spec.js","Chronicle now surfaces explicit passage-level theological synthesis with chapter shape, theological center, authorial strategy, redemptive frame, and tensions for key passages plus a grounded generic fallback."
"Epic P1.1 - Bible Interpretation Becomes Meaningful","P1.1.3 - Add canonical thread tracing","done",100,"src/pages/Bible.tsx; tests/bible-modes.spec.js","Canonical thread tracing now presents guided movement cards, reference-specific thread development, and stronger book-aware thread handling for passages like John 1 and John 3."
"Epic P1.1 - Bible Interpretation Becomes Meaningful","P1.1.4 - Improve translation comparison","done",100,"src/pages/Bible.tsx; tests/bible-modes.spec.js","Translation comparison now explains variation type, shared core meaning, and reading strategy rather than only listing side-by-side renderings."
"Epic P1.2 - Prayer and Formation Engine","P1.2.1 - Turn any passage into a prayer prompt","done",100,"src/pages/Bible.tsx; src/pages/Prayer.tsx; src/pages/Today.tsx; src/pages/Discipleship.tsx; tests/app-smoke.spec.js","Passage-seeded prayer handoffs now work consistently across the major formation surfaces; future work is content enrichment, not missing workflow support."
"Epic P1.2 - Prayer and Formation Engine","P1.2.2 - Turn any passage into reflection prompts","done",100,"src/lib/reflectionPrompts.ts; src/pages/Today.tsx; src/pages/Prayer.tsx; src/pages/Chronicle.tsx; tests/app-smoke.spec.js","Chronicle now generates reusable reflection prompt sets across daily study, prayer, and Chronicle contexts; later improvements belong to prompt-quality enrichment rather than missing product structure."
"Epic P1.2 - Prayer and Formation Engine","P1.2.3 - Track prayer requests and answered prayer","done",100,"src/pages/Prayer.tsx; src/lib/formationAnalytics.ts; src/pages/Insights.tsx; tests/app-smoke.spec.js","Prayer requests, answered prayer, follow-up queues, and outcome reporting are now connected across Prayer and Insights with durable Chronicle capture."
"Epic P1.2 - Prayer and Formation Engine","P1.2.4 - Add recurring rhythms","done",100,"src/store/index.ts; src/lib/formationRhythms.ts; src/pages/Today.tsx; src/pages/Prayer.tsx; src/pages/Plans.tsx; src/pages/Insights.tsx; tests/app-smoke.spec.js","Recurring daily and weekly rhythms are now first-class tracked formation objects with completion state and visibility across Today, Prayer, Plans, and Insights."
"Epic P1.2 - Prayer and Formation Engine","P1.2.5 - Connect themes, study, and prayer to growth history","done",100,"src/lib/formationAnalytics.ts; src/pages/Insights.tsx; src/pages/Prayer.tsx; src/pages/Chronicle.tsx; src/pages/Today.tsx; tests/app-smoke.spec.js","Chronicle now surfaces a stronger growth narrative that ties themes, study, prayer, answered prayer, and rhythms together across Insights, Chronicle, and daily formation surfaces."
"Epic P1.3 - Chronicle AI Becomes Structured and Useful","P1.3.1 - Formalize Chronicle AI roles","done",100,"src/store/aiChatStore.ts; src/components/ui/AIChatPanel.tsx; src/lib/chroniclePersonas.ts; vite.config.ts; tests/app-smoke.spec.js","Chronicle AI now exposes explicit named agent roles with role-specific summaries, UI selection, page defaults, and backend instruction shaping."
"Epic P1.3 - Chronicle AI Becomes Structured and Useful","P1.3.2 - Add structured AI actions","done",100,"src/components/ui/AIChatPanel.tsx; src/pages/Bible.tsx; src/pages/Chronicle.tsx; src/pages/Prayer.tsx; src/pages/Today.tsx; tests/app-smoke.spec.js","Structured actions now cover richer artifact generation, prayer/insight/reflection saves, prompt-set creation, and workspace reopen flows across the main formation surfaces."
"Epic P1.3 - Chronicle AI Becomes Structured and Useful","P1.3.3 - Improve page context grounding","done",100,"src/store/aiChatStore.ts; src/components/ui/AIChatPanel.tsx; src/pages/Bible.tsx; src/pages/Study.tsx; src/pages/Discipleship.tsx; src/pages/Prayer.tsx; src/pages/Today.tsx; src/pages/Chronicle.tsx; src/pages/Insights.tsx; src/pages/Plans.tsx; src/pages/Settings.tsx; tests/app-smoke.spec.js","Role defaults and context snapshots are now aligned across the major surfaces, including nested day, book, passage, prayer, and reflection contexts."
"Epic P1.3 - Chronicle AI Becomes Structured and Useful","P1.3.4 - Persist meaningful AI conversations by context","done",100,"src/store/aiChatStore.ts; src/components/ui/AIChatPanel.tsx; src/components/ui/AISelectionMenu.tsx; tests/app-smoke.spec.js","Thread memory is durable by context key; future work is thread summarization and cleanup, not core persistence."
"Epic P1.4 - Dynamic Study Generation","P1.4.1 - Generate dynamic study layouts by day and book","done",100,"vite.config.ts; src/pages/Discipleship.tsx; src/pages/Settings.tsx; tests/discipleship-progress.spec.js","Done."
"Epic P1.4 - Dynamic Study Generation","P1.4.2 - Detect workbook structures automatically","done",100,"scripts/sync-discipleship-workbook-overlays.mjs; scripts/qa-discipleship-workbook.mjs; vite.config.ts; tests/discipleship-progress.spec.js","Done."
"Epic P1.4 - Dynamic Study Generation","P1.4.3 - Convert non-devotional books into daily study paths","done",100,"vite.config.ts; data/ocr/fixtures/structured-general-book.txt; src/pages/Settings.tsx; tests/bible-settings.spec.js","Done."
"Epic P1.4 - Dynamic Study Generation","P1.4.4 - Keep generated study aligned to source material","done",100,"vite.config.ts; src/types/index.ts; src/pages/Settings.tsx; src/pages/Discipleship.tsx; tests/bible-settings.spec.js; tests/discipleship-progress.spec.js","Done."
"Epic P2.1 - Chronicle Owns Its Data Model","P2.1.1 - Normalize product data models","done",100,"src/types/index.ts; src/lib/chronicleDataModel.ts; src/store/index.ts; src/lib/chronicleVersioning.ts; vite.config.ts","Done."
"Epic P2.1 - Chronicle Owns Its Data Model","P2.1.2 - Separate source assets from Chronicle-managed data","done",100,"src/lib/chronicleDataModel.ts; vite.config.ts; data/library/catalog.json; data/library/manifest.json; public/bibles/library/manifest.json; src/pages/Settings.tsx; src/pages/Discipleship.tsx","Done."
"Epic P2.1 - Chronicle Owns Its Data Model","P2.1.3 - Stabilize manifests and storage contracts","done",100,"src/lib/chronicleDataModel.ts; src/lib/chronicleVersioning.ts; vite.config.ts; data/library/manifest.json; public/bibles/library/manifest.json; scripts/validate-data-foundation.mjs; tests/bible-settings.spec.js","Done."
"Epic P2.2 - Private Sync Across Devices","P2.2.1 - Design the sync model","done",100,"src/lib/chronicleSync.ts; vite.config.ts; src/pages/Settings.tsx; src/store/index.ts; src/lib/chronicleVersioning.ts","Portable private sync model is defined and wired end to end; future work is transport polish rather than missing sync semantics."
"Epic P2.2 - Private Sync Across Devices","P2.2.2 - Add conflict-safe merges","done",100,"src/lib/chronicleSync.ts; src/store/index.ts; src/pages/Settings.tsx; vite.config.ts","Field-aware merge policy now covers Chronicle entries, prayer history, rhythms, bookmarks, and owned-book progress for portable sync exchanges."
"Epic P2.2 - Private Sync Across Devices","P2.2.3 - Sync formation state","done",100,"src/lib/chronicleSync.ts; src/store/index.ts; src/pages/Settings.tsx; vite.config.ts; tests/app-smoke.spec.js","Formation state now travels through export, import, restore, and merge flows with durable portable sync metadata."
"Epic P2.2 - Private Sync Across Devices","P2.2.4 - Support per-device local caches","done",100,"src/types/index.ts; src/pages/Settings.tsx; vite.config.ts; public/bibles/library/manifest.json; data/library/catalog.json","Per-device cache posture is now explicit through sync profiles, cache policy controls, and local cache summaries in the sync console."
"Epic P2.3 - UX and Visual Polish","P2.3.1 - Finish responsive layouts","done",100,"src/pages/Bible.tsx; src/pages/Discipleship.tsx; src/pages/Prayer.tsx; src/pages/Settings.tsx; src/pages/Today.module.css; src/pages/Chronicle.tsx; src/pages/Chronicle.module.css","Responsive layout coverage is now intentional across the main high-traffic surfaces; future work would be enhancement, not unfinished P2.3 responsiveness."
"Epic P2.3 - UX and Visual Polish","P2.3.2 - Reduce panel competition and clutter","done",100,"src/pages/Bible.tsx; src/components/ui/AIChatPanel.tsx; src/pages/Settings.tsx; src/pages/Chronicle.tsx; src/pages/Chronicle.module.css","Primary dense surfaces now have calmer hierarchy, clearer grouping, and better stacking behavior; remaining tweaks would be iterative polish, not an open clutter problem."
"Epic P2.3 - UX and Visual Polish","P2.3.3 - Improve loading, saving, sync, and processing states","done",100,"src/pages/Bible.tsx; src/pages/Settings.tsx; src/pages/Discipleship.tsx; src/pages/Chronicle.tsx; scripts/qa-launch-readiness.mjs","Long-running workflows now expose honest state, recovery, and health surfaces at product level; deeper future diagnostics are additive rather than blocking."
"Epic P2.3 - UX and Visual Polish","P2.3.4 - Unify visual language across all tabs","done",100,"src/pages/Bible.tsx; src/pages/Prayer.tsx; src/pages/Settings.tsx; src/components/ui/AIChatPanel.module.css; src/pages/Today.module.css; src/pages/Chronicle.module.css","The visual system is now coherent across the core tabs, with shared spacing, card treatment, controls, and panel rhythm; further refinements are brand evolution, not unfinished P2.3 consistency."
"Epic P2.3 - UX and Visual Polish","P2.3.5 - Final readability and interaction polish","done",100,"src/pages/Bible.tsx; src/pages/Discipleship.tsx; src/pages/Study.tsx; src/pages/Chronicle.tsx; src/pages/Today.module.css; src/pages/Chronicle.module.css","Reading surfaces, action density, and small-screen interactions now meet launch-grade expectations for this product scope; future edits would be refinement rather than missing baseline polish."
"Epic P2.4 - Settings Becomes the Operational Control Center","P2.4.1 - Manage Bible library","done",100,"src/pages/Settings.tsx; vite.config.ts; tests/bible-settings.spec.js","Bible library controls now include provider routing, per-translation cache actions, and direct reader-provider selection from Settings."
"Epic P2.4 - Settings Becomes the Operational Control Center","P2.4.2 - Manage imported books and OCR jobs","done",100,"src/pages/Settings.tsx; vite.config.ts; data/library/qa/discipleship-workbook-audit.json","Import management now includes repair-queue surfacing and direct next-step actions from the data-health center and study library."
"Epic P2.4 - Settings Becomes the Operational Control Center","P2.4.3 - Manage sync state","done",100,"src/pages/Settings.tsx; vite.config.ts; src/store/index.ts; src/lib/chronicleVersioning.ts","Sync state is now operationally managed with snapshot health, merge-policy visibility, cache posture, and device-profile controls."
"Epic P2.4 - Settings Becomes the Operational Control Center","P2.4.4 - Manage AI and provider configuration","done",100,"src/pages/Settings.tsx; src/store/aiChatStore.ts; src/lib/chroniclePersonas.ts; tests/bible-settings.spec.js","Settings now exposes explicit AI role, persona, Bible-provider, and response-translation controls as a coherent companion configuration surface."
"Epic P2.4 - Settings Becomes the Operational Control Center","P2.4.5 - Manage caches, analyses, and data health","done",100,"src/pages/Settings.tsx; vite.config.ts; data/library/qa/discipleship-workbook-audit.json; tests/bible-settings.spec.js","Cache health, OCR repair queues, workbook flags, and refresh actions are now centralized in a data-health control surface with direct repair workflows."
"Epic P2.5 - Launch Hardening","P2.5.1 - Full BMAD pass on every tab","done",100,"docs/bmad/README.md; docs/bmad/p0-trustworthy-core.md; docs/bmad/p1-deep-product-intelligence.md; docs/bmad/p2-finished-portable-product.md; docs/bmad/launch-readiness-pass.md","A final whole-product BMAD sweep has now been recorded in the launch-readiness pass and reflected in the tracker."
"Epic P2.5 - Launch Hardening","P2.5.2 - Final end-to-end workflow test sweep","done",100,"tests/app-smoke.spec.js; tests/bible-modes.spec.js; tests/bible-settings.spec.js; tests/discipleship-progress.spec.js; tests/launch-readiness.spec.js; scripts/qa-launch-readiness.mjs","Launch sweep coverage now includes browser-flow specs plus request-level and script-level readiness checks."
"Epic P2.5 - Launch Hardening","P2.5.3 - Final bug scrub","done",100,"tests/app-smoke.spec.js; tests/bible-settings.spec.js; src/pages/Today.tsx; src/pages/Settings.tsx; src/components/layout/AppShell.tsx","The deliberate final scrub is complete for the remaining launch-blocking issues; later issues are polish, not open bug debt."
"Epic P2.5 - Launch Hardening","P2.5.4 - Minimal onboarding and help","done",100,"src/pages/Settings.tsx; src/lib/chronicleBrand.ts; docs/bmad/launch-readiness-pass.md","Chronicle now includes a minimal getting-started and help layer in Settings plus launch-readiness guidance."
"Epic P2.5 - Launch Hardening","P2.5.5 - Final branding consistency pass","done",100,"src/lib/chronicleBrand.ts; src/pages/Settings.tsx; src/components/layout/AppShell.tsx; src/components/ui/AIChatPanel.module.css","Core brand language, versioning, tagline, and launch-candidate identity are now shared across the app's main trust surfaces."
